"pitch","midi","channel","on_tick","off_tick"
"e'",64,4,0,384
"b",59,3,0,384
"b''",83,2,0,960
"gis''",80,1,0,960
"e'",64,4,384,576
"b",59,3,384,576
"fis'",66,4,576,768
"b",59,3,576,768
"gis'",68,4,768,1536
"e'",64,3,768,1536
"b''",83,2,960,1152
"gis''",80,1,960,1152
"e'''",88,2,1152,1344
"b''",83,1,1152,1344
"e'''",88,2,1344,1536
"gis''",80,1,1344,1536
"ais'",70,4,1536,1920
"fis'",66,3,1536,1920
"fis'''",90,2,1536,2688
"dis'''",87,1,1536,1728
"cis'''",85,1,1728,2688
"ais'",70,4,1920,2112
"fis'",66,3,1920,2112
"b'",71,4,2112,2304
"gis'",68,3,2112,2304
"cis''",73,4,2304,2688
"ais'",70,3,2304,2688
"fis'",66,4,2688,2880
"fis'",66,3,2688,2880
"cis'''",85,2,2688,2880
"ais''",82,1,2688,2880
"e'",64,4,2880,3072
"e'",64,3,2880,3072
"b''",83,2,2880,3072
"gis''",80,1,2880,3072
"dis'",63,4,3072,3840
"dis'",63,3,3072,3840
"ais''",82,2,3072,3840
"fis''",78,1,3072,3840
"dis'",63,4,3840,4032
"cis'",61,3,3840,4032
"ais''",82,2,3840,4032
"fis''",78,1,3840,4032
"dis'",63,4,4032,4224
"dis'",63,3,4032,4224
"ais''",82,2,4032,4224
"fis''",78,1,4032,4224
"fis'",66,4,4224,4416
"dis'",63,3,4224,4416
"ais''",82,2,4224,4416
"cis'''",85,1,4224,4416
"ais'",70,4,4416,4608
"dis'",63,3,4416,4608
"dis'''",87,2,4416,4608
"ais''",82,1,4416,4608
"gis'",68,4,4608,4800
"e'",64,3,4608,4800
"cis'''",85,2,4608,4800
"cis'''",85,1,4608,4800
"gis'",68,4,4800,5760
"dis'",63,3,4800,5760
"dis'''",87,2,4800,5376
"b''",83,1,4800,5376
"dis'''",87,2,5568,5760
"b''",83,1,5568,5760
"b''",83,2,5760,5952
"gis''",80,1,5760,5952
"ais''",82,2,5952,6144
"fis''",78,1,5952,6144
"cis'",61,4,6144,6528
"e'",64,3,6144,6528
"gis''",80,2,6144,7104
"e''",76,1,6144,7104
"cis'",61,4,6528,6720
"e'",64,3,6528,6720
"dis'",63,4,6720,6912
"fis'",66,3,6720,6912
"e'",64,4,6912,7680
"gis'",68,3,6912,7680
"gis''",80,2,7104,7296
"e''",76,1,7104,7296
"b''",83,2,7296,7488
"gis''",80,1,7296,7488
"dis'''",87,2,7488,7680
"dis'''",87,1,7488,7680
"fis'",66,4,7680,8064
"ais'",70,3,7680,8064
"fis'''",90,2,7680,8448
"dis'''",87,1,7680,7872
"cis'''",85,1,7872,8448
"fis'",66,4,8064,8256
"ais'",70,3,8064,8256
"gis'",68,4,8256,8448
"gis'",68,3,8256,8448
"fis'",66,4,8448,8640
"fis'",66,3,8448,8640
"fis'",66,4,8640,8832
"ais'",70,3,8640,8832
"cis'''",85,2,8640,8832
"ais''",82,1,8640,8832
"cis'",61,4,8832,9024
"ais'",70,3,8832,9024
"cis'''",85,2,8832,9024
"ais''",82,1,8832,9024
"dis'",63,4,9024,9216
"fis'",66,3,9024,9216
"dis'''",87,2,9024,9216
"b''",83,1,9024,9216
"e'",64,4,9216,9984
"gis'",68,3,9216,9984
"e'''",88,2,9216,9984
"cis'''",85,1,9216,9984
"fis'",66,4,9984,10240
"b'",71,3,9984,10240
"dis'''",87,2,9984,10240
"dis'''",87,1,9984,10240
"fis'",66,4,10240,10496
"ais'",70,3,10240,10496
"cis'''",85,2,10240,10496
"cis'''",85,1,10240,10496
"fis'",66,4,10496,10752
"gis'",68,3,10496,10752
"e'''",88,2,10496,10752
"b''",83,1,10496,10752
"b",59,4,10752,11904
"fis'",66,3,10752,11904
"dis'''",87,2,10752,11520
"b''",83,1,10752,11520
"fis'''",90,2,11712,11904
"dis'''",87,1,11712,11904
"e'''",88,2,11904,12096
"cis'''",85,1,11904,12096
"dis'''",87,2,12096,12288
"b''",83,1,12096,12288
"b",59,4,12288,13056
"fis'",66,3,12288,13056
"dis'''",87,2,12288,13056
"b''",83,1,12288,13056
