"pitch","midi","channel","on_tick","off_tick"
"e",52,4,0,384
"b",59,3,0,384
"g'",67,1,0,384
"b'",71,0,0,384
"e",52,4,384,576
"b",59,3,384,576
"e'",64,1,384,576
"e'",64,0,384,576
"e",52,4,576,768
"b",59,3,576,768
"e'",64,1,576,768
"fis'",66,0,576,768
"cis",49,4,768,1344
"a",57,3,768,1344
"e'",64,1,768,1344
"g'",67,0,768,1344
"e",52,4,1344,1536
"b",59,3,1344,1536
"e'",64,1,1344,1536
"b'",71,0,1344,1536
"fis",54,4,1536,1728
"cis'",61,3,1536,1728
"fis'",66,1,1536,1728
"a'",69,0,1536,1728
"fis",54,4,1728,2112
"cis'",61,3,1728,2112
"fis'",66,1,1728,2112
"a'",69,0,1728,2112
"a,",45,4,2112,2304
"a",57,3,2112,2304
"d'",62,1,2112,2208
"fis'",66,0,2112,2208
"cis'",61,1,2208,2304
"e'",64,0,2208,2304
"b,",47,4,2304,2688
"fis",54,3,2304,2688
"b",59,1,2304,2688
"d'",62,0,2304,2688
"b,",47,4,2880,3072
"fis",54,3,2880,3072
"b",59,1,2880,3072
"d'",62,0,2880,3072
"g",55,4,3072,3264
"g",55,3,3072,3264
"e'",64,1,3072,3264
"e'",64,0,3072,3264
"a",57,4,3264,3456
"a",57,3,3264,3456
"fis'",66,1,3264,3456
"fis'",66,0,3264,3456
"b",59,4,3456,3648
"b",59,3,3456,3648
"g'",67,1,3456,3648
"g'",67,0,3456,3648
"g",55,4,3648,3840
"g",55,3,3648,3840
"e'",64,1,3648,3840
"e'",64,0,3648,3840
"e",52,4,3840,4032
"a",57,3,3840,4032
"cis'",61,1,3840,4032
"cis'",61,0,3840,4032
"e",52,4,4032,4416
"a",57,3,4032,4416
"cis'",61,1,4032,4416
"cis'",61,0,4032,4416
"e",52,4,4416,4608
"g",55,3,4416,4608
"a",57,1,4416,4608
"a",57,0,4416,4608
"fis",54,4,4608,5760
"fis",54,3,4608,5760
"cis'",61,1,4608,5760
"a'",69,0,4608,5760
