"pitch","midi","channel","on_tick","off_tick"
"e",52,5,0,384
"b",59,4,0,384
"e'",64,3,0,576
"g'",67,1,0,576
"g'",67,0,0,576
"e",52,5,384,768
"a",57,4,384,768
"d'",62,3,576,768
"a'",69,1,576,768
"a'",69,0,576,768
"a,",45,5,768,1152
"a",57,4,768,1152
"cis'",61,3,768,1152
"g'",67,1,768,1152
"g'",67,0,768,1152
"a,",45,5,1152,1344
"a",57,4,1152,1344
"cis'",61,3,1152,1344
"g'",67,1,1152,1344
"g'",67,0,1152,1344
"a,",45,5,1344,1536
"a",57,4,1344,1536
"e'",64,3,1344,1536
"a'",69,1,1344,1536
"a'",69,0,1344,1536
"d",50,5,1536,1920
"a",57,4,1536,1920
"d'",62,3,1536,1920
"fis'",66,1,1536,1920
"fis'",66,0,1536,1920
"cis",49,5,1920,2304
"a",57,4,1920,2304
"e'",64,3,1920,2304
"a'",69,1,1920,2304
"e''",76,0,1920,2112
"d''",74,0,2112,2208
"cis''",73,0,2208,2304
"b,",47,5,2304,3072
"b",59,4,2304,3072
"fis'",66,3,2304,3072
"d''",74,1,2304,3072
"d''",74,0,2304,3072
"e",52,5,3072,3648
"b",59,4,3072,3840
"g'",67,3,3072,3648
"e''",76,1,3072,3648
"e''",76,0,3072,3648
"e",52,5,3648,3840
"fis'",66,3,3648,3840
"d''",74,1,3648,3840
"d''",74,0,3648,3840
"a,",45,5,3840,4224
"a",57,4,3840,4608
"e'",64,3,3840,4608
"cis''",73,1,3840,4224
"cis''",73,0,3840,4224
"a,",45,5,4224,4416
"d''",74,1,4224,4416
"d''",74,0,4224,4416
"a,",45,5,4416,4608
"e''",76,1,4416,4608
"e''",76,0,4416,4608
"d",50,5,4608,5376
"d''",74,1,4608,5376
"d''",74,0,4608,5376
"ais",58,4,4992,5120
"g'",67,3,4992,5120
"a",57,4,5120,5248
"fis'",66,3,5120,5248
"g",55,4,5248,5376
"e'",64,3,5248,5376
"a",57,4,5376,5760
"fis'",66,3,5376,5760
"a",57,5,5568,5760
"fis'",66,1,5568,5760
"a",57,5,5760,5952
"fis'",66,1,5760,5952
"a",57,5,5952,6144
"a'",69,1,5952,6144
