"pitch","midi","channel","on_tick","off_tick"
"f'",65,0,192,384
"f'",65,0,384,576
"gis'",68,0,576,768
"f'",65,0,768,960
"f'",65,0,960,1344
"f'",65,0,1344,1440
"dis'",63,0,1440,1536
"cis'",61,0,1536,1728
"cis'",61,0,1728,2112
"gis'",68,0,2112,2304
"ais'",70,0,2304,3456
"ais'",70,0,3648,3840
"c''",72,0,3840,4032
"ais'",70,0,4032,4224
"gis'",68,0,4224,4416
"g'",67,0,4416,4608
"fis'",66,0,4608,4992
"dis'",63,0,4992,5184
"e'",64,0,5184,5376
"f'",65,0,5376,6528
"ais'",70,0,6912,7296
"dis'",63,0,7296,7488
"f'",65,0,7488,7680
"fis'",66,0,7680,8256
"ais'",70,0,8256,8448
"gis'",68,0,8448,8640
"gis'",68,0,8640,9024
"f'",65,0,9024,9120
"dis'",63,0,9120,9216
"cis'",61,0,9216,9600
"cis'",61,0,9792,9984
"dis'",63,0,9984,10176
"f'",65,0,10176,10368
"fis'",66,0,10368,10560
"dis'",63,0,10560,10752
"c'",60,0,10752,10944
"c'",60,0,10944,11328
"gis",56,0,11328,11520
"gis'",68,0,11520,12672
"dis'",63,0,13056,13248
"f'",65,0,13248,13440
"fis'",66,0,13440,13632
"dis'",63,0,13632,13824
"c'",60,0,13824,14208
"c''",72,0,14208,14592
"gis'",68,0,14592,15744
"gis'",68,0,15936,16128
"ais'",70,0,16128,16512
"dis'",63,0,16512,16704
"f'",65,0,16704,16896
"fis'",66,0,16896,17472
"ais'",70,0,17472,17664
"gis'",68,0,17664,18048
"f'",65,0,18048,18240
"dis'",63,0,18240,18432
"cis'",61,0,18432,19200
"fis'",66,0,19200,19584
"f'",65,0,19584,19968
"dis'",63,0,19968,20544
"dis'",63,0,20544,20736
"dis'",63,0,20736,21120
"cis'",61,0,21120,22272
