"pitch","midi","channel","on_tick","off_tick"
"gis'",68,4,960,1152
"gis'",68,3,960,1152
"gis''",80,2,960,1152
"gis''",80,1,960,1152
"gis'",68,4,1152,1344
"gis'",68,3,1152,1344
"gis''",80,2,1152,1344
"gis''",80,1,1152,1344
"ais'",70,4,1344,1536
"ais'",70,3,1344,1536
"ais''",82,2,1344,1536
"ais''",82,1,1344,1536
"b'",71,4,1536,2688
"b'",71,3,1536,2688
"b''",83,2,1536,2688
"b''",83,1,1536,2688
"b'",71,4,2688,2880
"b'",71,3,2688,2880
"b''",83,2,2688,2880
"b''",83,1,2688,2880
"gis'",68,4,2880,3072
"gis'",68,3,2880,3072
"gis''",80,2,2880,3072
"gis''",80,1,2880,3072
"dis''",75,4,3072,3264
"dis''",75,3,3072,3264
"dis'''",87,2,3072,3264
"dis'''",87,1,3072,3264
"cis''",73,4,3264,4032
"cis''",73,3,3264,4032
"cis'''",85,2,3264,4032
"cis'''",85,1,3264,4032
"fis'",66,4,4032,4224
"ais'",70,3,4032,4224
"cis'''",85,2,4032,4224
"ais''",82,1,4032,4224
"cis'",61,4,4224,4416
"ais'",70,3,4224,4416
"cis'''",85,2,4224,4416
"ais''",82,1,4224,4416
"dis'",63,4,4416,4608
"fis'",66,3,4416,4608
"dis'''",87,2,4416,4608
"b''",83,1,4416,4608
"e'",64,4,4608,5376
"gis'",68,3,4608,5376
"e'''",88,2,4608,5376
"cis'''",85,1,4608,5376
"fis'",66,4,5376,5632
"b'",71,3,5376,5632
"dis'''",87,2,5376,5632
"dis'''",87,1,5376,5632
"fis'",66,4,5632,5888
"ais'",70,3,5632,5888
"cis'''",85,2,5632,5888
"cis'''",85,1,5632,5888
"fis'",66,4,5888,6144
"gis'",68,3,5888,6144
"e'''",88,2,5888,6144
"b''",83,1,5888,6144
"b",59,4,6144,7680
"fis'",66,3,6144,7680
"dis'''",87,2,6144,7680
"b''",83,1,6144,7680
"b",59,4,8064,8448
"g'",67,3,8064,8448
"e'''",88,2,8064,8448
"b''",83,1,8064,8448
"b",59,4,8448,8832
"g'",67,3,8448,8832
"e'''",88,2,8448,8832
"cis'''",85,1,8448,8832
"b",59,4,8832,9216
"a'",69,3,8832,9216
"e'''",88,2,8832,9216
"e'''",88,1,8832,9216
"b",59,4,9216,10752
"b'",71,4,9216,10752
"fis'",66,3,9216,10752
"b'",71,3,9216,10752
"cis'''",85,2,9216,10752
"dis'''",87,2,9216,10752
"dis'''",87,1,9216,10752
"fis'''",90,1,9216,10752
"b",59,4,10752,11136
"fis'",66,3,10752,11136
"cis'''",85,2,10752,11136
"dis'''",87,1,10752,11136
