"pitch","midi","channel","on_tick","off_tick"
"d",50,4,0,192
"a",57,3,0,192
"d'",62,2,0,192
"fis'",66,0,0,192
"d",50,4,192,576
"a",57,3,192,576
"d'",62,2,192,576
"fis'",66,0,192,576
"d",50,4,576,672
"a",57,3,576,672
"d'",62,2,576,672
"fis'",66,0,576,672
"d",50,4,672,768
"a",57,3,672,768
"d'",62,2,672,768
"e'",64,0,672,768
"fis",54,4,768,960
"a",57,3,768,960
"d'",62,2,768,960
"d'",62,0,768,960
"fis",54,4,960,1344
"a",57,3,960,1152
"d'",62,2,960,1344
"d'",62,0,960,1152
"a",57,3,1152,1344
"d'",62,2,1152,1344
"d",50,4,1344,1536
"a",57,3,1344,1536
"fis'",66,2,1344,1536
"a'",69,0,1344,1536
"g",55,4,1536,1920
"b",59,3,1536,1920
"g'",67,2,1536,1920
"b'",71,0,1536,2688
"fis",54,4,1920,2304
"fis",54,3,1920,2304
"dis'",63,2,1920,2304
"e",52,4,2304,2688
"g",55,3,2304,2688
"e'",64,2,2304,2688
"e",52,4,2880,3072
"d'",62,3,2880,3072
"fis'",66,2,2880,3072
"b'",71,0,2880,3072
"a",57,4,3072,3264
"e'",64,3,3072,3264
"g'",67,2,3072,3264
"cis''",73,0,3072,3264
"a",57,4,3264,3456
"d'",62,3,3264,3456
"g'",67,2,3264,3456
"b'",71,0,3264,3456
"a",57,4,3456,3648
"cis'",61,3,3456,3648
"e'",64,2,3456,3648
"a'",69,0,3456,3648
"a",57,4,3648,3840
"c'",60,3,3648,3840
"e'",64,2,3648,3840
"gis'",68,0,3648,3840
"e",52,4,3840,4224
"b",59,3,3840,4224
"e'",64,2,3840,4224
"g'",67,0,3840,4224
"cis",49,4,4224,4416
"g",55,3,4224,4416
"e'",64,2,4224,4416
"e'",64,0,4224,4416
"d",50,4,4416,4608
"g",55,3,4416,4608
"f'",65,2,4416,4608
"f'",65,0,4416,4608
"d",50,4,4608,5760
"a",57,3,4608,5760
"fis'",66,2,4608,5760
"fis'",66,0,4608,5760
