"pitch","midi","channel","on_tick","off_tick"
"gis",56,0,192,384
"cis'",61,0,384,960
"f'",65,0,960,1152
"gis'",68,0,1152,1728
"cis''",73,0,1728,1920
"c''",72,0,1920,2112
"gis'",68,0,2112,2304
"gis'",68,0,2304,2496
"f'",65,0,2496,2688
"gis'",68,0,2688,3072
"f'",65,0,3264,3456
"ais'",70,0,3456,4032
"fis'",66,0,4032,4224
"dis'",63,0,4224,4416
"dis'",63,0,4416,4800
"gis'",68,0,4800,4896
"ais'",70,0,4896,4992
"gis'",68,0,4992,6144
"fis'",66,0,6528,7104
"gis'",68,0,7104,7296
"fis'",66,0,7296,7872
"gis'",68,0,7872,8064
"f'",65,0,8064,8448
"gis'",68,0,8448,8832
"cis''",73,0,8832,9600
"dis''",75,0,9600,10176
"cis''",73,0,10176,10368
"c''",72,0,10368,10752
"c''",72,0,10752,10880
"cis''",73,0,10880,11008
"dis''",75,0,11008,11136
"gis'",68,0,11136,12288
"gis",56,0,12480,12672
"cis'",61,0,12672,12864
"cis'",61,0,12864,13248
"f'",65,0,13248,13440
"gis'",68,0,13440,14016
"cis''",73,0,14016,14208
"c''",72,0,14208,14784
"ais'",70,0,14784,14976
"gis'",68,0,14976,15744
"ais'",70,0,15744,16320
"fis'",66,0,16320,16512
"dis'",63,0,16512,17088
"ais'",70,0,17088,17280
"gis'",68,0,17280,18432
"fis'",66,0,18816,19392
"gis'",68,0,19392,19584
"fis'",66,0,19584,19968
"fis'",66,0,19968,20160
"gis'",68,0,20160,20352
"f'",65,0,20352,20736
"gis'",68,0,20736,21120
"cis''",73,0,21120,21888
"dis''",75,0,21888,22464
"cis''",73,0,22464,22656
"c''",72,0,22656,23040
"cis''",73,0,23040,23232
"dis''",75,0,23232,23424
"cis''",73,0,23424,24192
