"pitch","midi","channel","on_tick","off_tick"
"fis'",66,4,0,960
"fis'",66,3,0,960
"fis''",78,2,0,960
"fis''",78,1,0,960
"c''",72,2,1152,1344
"dis''",75,1,1152,1344
"dis''",75,2,1344,1536
"fis''",78,1,1344,1536
"dis''",75,2,1536,1728
"fis''",78,1,1536,1728
"cis''",73,2,1728,1920
"e''",76,1,1728,1920
"e'",64,4,1920,2112
"gis'",68,3,1920,2112
"cis''",73,2,1920,2688
"e''",76,1,1920,2688
"gis'",68,4,2112,2304
"b'",71,3,2112,2304
"gis'",68,4,2304,2496
"b'",71,3,2304,2496
"fis'",66,4,2496,2688
"ais'",70,3,2496,2688
"fis'",66,4,2688,3072
"ais'",70,3,2688,3072
"cis''",73,2,2688,2880
"cis''",73,1,2688,2880
"e''",76,2,2880,3072
"gis''",80,1,2880,3072
"e''",76,2,3072,3264
"gis''",80,1,3072,3264
"b'",71,4,3264,3456
"dis''",75,3,3264,3456
"dis''",75,2,3264,3456
"fis''",78,1,3264,3456
"b'",71,4,3456,3648
"dis''",75,3,3456,4032
"dis''",75,2,3456,3648
"fis''",78,1,3456,4032
"ais'",70,4,3648,3840
"cis''",73,3,3648,3840
"gis'",68,4,3840,4032
"c''",72,3,3840,4224
"fis'",66,4,4032,4224
"e'",64,4,4224,4416
"gis'",68,3,4224,4416
"c''",72,2,4224,4416
"dis''",75,1,4224,4416
"dis'",63,4,4416,4608
"gis'",68,3,4416,4608
"dis''",75,2,4416,4608
"fis''",78,1,4416,4608
"cis'",61,4,4608,4992
"gis'",68,3,4608,5184
"dis''",75,2,4608,4800
"fis''",78,1,4608,4800
"cis''",73,2,4800,4992
"e''",76,1,4800,4992
"dis'",63,4,4992,5184
"e''",76,2,4992,5568
"gis''",80,1,4992,5568
"e'",64,4,5184,5376
"b'",71,3,5184,5376
"fis'",66,4,5376,5568
"cis''",73,3,5376,5568
"fis'",66,4,5568,5760
"cis''",73,3,5568,5760
"e''",76,2,5568,5760
"ais''",82,1,5568,5760
"fis'",66,4,5760,5952
"dis''",75,3,5760,5952
"fis''",78,2,5760,5952
"b''",83,1,5760,5952
"fis'",66,4,5952,6144
"e''",76,3,5952,6144
"gis''",80,2,5952,6144
"cis'''",85,1,5952,6144
"b",59,4,6144,6336
"e''",76,3,6144,6336
"gis''",80,2,6144,6336
"cis'''",85,1,6144,6336
"b",59,4,6336,6528
"dis''",75,3,6336,6528
"fis''",78,2,6336,6528
"b''",83,1,6336,6528
"b",59,4,6528,7680
"dis''",75,3,6528,7680
"fis''",78,2,6528,7680
"b''",83,1,6528,7680
